"id","name","province_id","city_id","latitude","longitude","created_at","updated_at","deleted_at"
"1","Arongan Lambalek","21","1","4.34334","95.95154","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"2","Bubon","21","1","4.30112","96.12089","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"3","Johan Pahlawan","21","1","4.19909","96.12089","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"4","Kaway XVI","21","1","4.26973","96.21636","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"5","Meureubo","21","1","4.14741","96.21636","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"6","Pante Ceureumen (Pantai Ceuremen)","21","1","4.49344","96.36516","2021-10-20 15:19:47","2021-11-26 15:08:10",0
"7","Panton Reu","21","1","4.44359","96.20574","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"8","Samatiga","21","1","4.23026","96.04674","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"9","Sungai Mas","21","1","4.57768","96.11029","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"10","Woyla","21","1","4.38324","96.07851","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"11","Woyla Barat","21","1","4.39407","96.00441","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"12","Woyla Timur","21","1","4.47529","96.0891","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"13","Babah Rot","21","2","3.92012","96.70659","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"14","Blang Pidie","21","2","3.74315","96.83265","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"15","Jeumpa","21","2","5.16056","96.65312","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"16","Kuala Batee","21","2","3.9395","96.81366","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"17","Lembah Sabil","21","2","3.6249","97.01759","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"18","Manggeng","21","2","3.60821","96.9188","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"19","Setia","21","2","3.70156","96.87263","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"20","Susoh","21","2","3.72858","96.81258","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"21","Tangan-Tangan","21","2","3.69598","96.94238","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"22","Baitussalam","21","3","5.6053","95.38872","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"23","Blank Bintang","21","3","1.1367","104.42575","2021-10-20 15:19:47","2021-11-26 15:08:09",0
"24","Darul Imarah","21","3","5.50137","95.31548","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"25","Darul Kamal","21","3","5.46476","95.32071","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"26","Darussalam","21","3","5.59455","95.42014","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"27","Indrapuri","21","3","5.42189","95.44633","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"28","Ingin Jaya","21","3","5.51136","95.36778","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"29","Kota Cot Glie (Kuta Cot Glie)","21","3","5.30677","95.49876","2021-10-20 15:19:47","2021-11-26 15:08:10",0
"30","Kota Jantho","21","3","5.28387","95.63125","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"31","Kota Malaka (Kuta Malaka)","21","3","5.42762","95.38872","2021-10-20 15:19:47","2021-11-26 15:08:10",0
"32","Krueng Barona Jaya","21","3","5.55058","95.36517","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"33","Kuta Baro","21","3","5.54742","95.42538","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"34","Lembah Seulawah","21","3","5.3882","95.70892","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"35","Leupung","21","3","5.39239","95.25526","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"36","Lhoknga (Lho'nga)","21","3","5.46531","95.258","2021-10-20 15:19:47","2021-11-26 15:08:10",0
"37","Lhoong","21","3","5.26695","95.28934","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"38","Mantasiek (Montasik)","21","3","5.46583","95.42273","2021-10-20 15:19:47","2021-11-26 15:08:10",0
"39","Mesjid Raya","21","3","5.56757","95.50925","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"40","Peukan Bada","21","3","5.53338","95.24233","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"41","Pulo Aceh","21","3","5.4619","95.63528","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"42","Seulimeum","21","3","5.47244","95.62477","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"43","Simpang Tiga","21","3","0.45513","101.46231","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"44","Suka Makmur","21","3","3.51408","98.68069","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"45","Darul Hikmah","21","4","4.89078","95.62477","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"46","Indra Jaya","21","4","5.01668","95.4149","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"47","Jaya","21","4","-4.0846","137.18661","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"48","Keude Panga","21","4","4.64198","95.7932","2021-10-20 15:19:47","2021-11-26 15:08:12",0
"49","Krueng Sabee","21","4","4.82686","95.85649","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"50","Pasie Raya","21","4","4.59947","95.96211","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"51","Sampoiniet","21","4","4.93318","95.49876","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"52","Setia Bakti","21","4","4.74647","95.60375","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"53","Teunom","21","4","4.43603","95.8776","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"54","Bakongan","21","5","2.96224","97.47059","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"55","Bakongan Timur","21","5","2.90205","97.5789","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"56","Kluet Selatan","21","5","3.05166","97.45977","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"57","Kluet Tengah","21","5","3.43189","97.30846","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"58","Kluet Timur","21","5","3.17104","97.45977","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"59","Kluet Utara","21","5","3.1221","97.34085","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"60","Kota Bahagia","21","5","3.01133","97.54639","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"61","Labuhan Haji","21","5","-8.64725","116.57868","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"62","Labuhan Haji Barat","21","5","3.58499","96.9746","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"63","Labuhan Haji Timur","21","5","3.60394","97.12517","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"64","Meukek","21","5","3.59312","97.22214","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"65","Pasie Raja","21","5","3.2021","97.29766","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"66","Sama Dua","21","5","3.34269","97.1898","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"67","Sawang","21","5","5.04409","96.89945","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"68","Tapak Tuan","21","5","3.26156","97.18037","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"69","Trumon","21","5","2.63444","97.74167","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"70","Trumon Tengah","21","5","2.90147","97.66566","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"71","Trumon Timur","21","5","2.8906","97.80689","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"72","Danau Paris","21","6","2.29895","98.11201","2021-10-20 15:19:47","2021-11-25 11:58:32",0
"73","Gunung Meriah (Mariah)","21","6","3.12177","98.68206","2021-10-20 15:19:47","2021-11-26 15:08:09",0
"74","Kota Baharu","21","6","-3.4667","114.74907","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"75","Kuala Baru","21","6","2.3891","97.73081","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"76","Pulau Banyak","21","6","2.31989","97.4138","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"77","Pulau Banyak Barat","21","6","2.14721","97.28687","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"78","Simpang Kanan","21","6","1.85952","100.37225","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"79","Singkil","21","6","2.28361","97.79873","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"80","Singkil Utara","21","6","2.29969","97.98108","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"81","Singkohor","21","6","2.53493","97.93749","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"82","Suro Makmur","21","6","-7.49036","109.32479","2021-10-20 15:19:47","2021-11-26 15:08:09",0
"83","Banda Mulia","21","7","4.44517","98.14478","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"84","Bandar Pusaka","21","7","4.28542","97.83952","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"85","Bendahara","21","7","4.4039","98.18849","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"86","Karang Baru","21","7","4.33293","98.07561","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"87","Kejuruan Muda","21","7","4.21234","98.0247","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"88","Kota Kuala Simpang","21","7","4.28566","98.06016","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"89","Manyak Payed","21","7","4.42573","98.05743","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"90","Rantau","21","7","-2.93757","115.144","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"91","Sekerak","21","7","4.32523","97.9266","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"92","Seruway","21","7","4.36069","98.18462","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"93","Tamiang Hulu","21","7","4.1534","97.82864","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"94","Tenggulun","21","7","3.99042","97.91571","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"95","Atu Lintang","21","8","4.43853","96.78152","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"96","Bebesen","21","8","4.64326","96.80295","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"97","Bies","21","8","4.6075","96.78688","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"98","Bintang","21","8","1.1367","104.42575","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"99","Celala","21","8","4.55205","96.6852","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"100","Jagong Jeget","21","8","4.3879","96.72799","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"101","Kebayakan","21","8","4.64772","96.87263","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"102","Ketol","21","8","4.81986","96.62106","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"103","Kute Panang","21","8","4.68455","96.78152","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"104","Linge","21","8","4.3237","97.04984","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"105","Lut Tawar","21","8","4.58088","96.88872","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"106","Pegasing","21","8","4.51027","96.77081","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"107","Rusip Antara","21","8","4.73911","96.45034","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"108","Silih Nara","21","8","4.63371","96.72799","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"109","Babul Makmur","21","9","3.31651","97.99199","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"110","Babul Rahmah","21","9","0","0","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"111","Babussalam","21","9","3.49307","97.80145","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"112","Badar","21","9","3.57817","97.81776","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"113","Bambel","21","9","3.45716","97.90482","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"114","Bukit Tusam","21","9","3.41244","97.86672","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"115","Darul Hasanah","21","9","3.51003","97.56806","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"116","Deleng Pokhisen","21","9","-0.49359","103.15097","2021-10-20 15:19:47","2021-11-26 15:12:49",0
"117","Ketambe","21","9","3.68955","97.71995","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"118","Lawe Alas","21","9","3.43786","97.81776","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"119","Lawe Bulan","21","9","3.50254","97.86672","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"120","Lawe Sigala-Gala","21","9","3.35698","97.9266","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"121","Lawe Sumur","21","9","3.48232","97.88849","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"122","Leuser","21","9",0,0,"2021-10-20 15:19:47","2021-10-20 15:19:47",0
"123","Semadam","21","9","3.39227","97.88849","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"124","Tanah Alas","21","9","-8.51213","117.0127","2021-10-20 15:19:47","2021-11-26 15:09:02",0
"125","Banda Alam","21","10","4.86008","97.68737","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"126","Birem Bayeun","21","10","4.47923","97.82864","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"127","Darul Aman","21","10","4.96281","97.70909","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"128","Darul Falah","21","10","5.01004","97.63854","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"129","Darul Iksan (Ihsan)","21","10","4.90558","97.75797","2021-10-20 15:19:47","2021-11-26 15:08:09",0
"130","Idi Rayeuk","21","10","4.9623","97.75254","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"131","Idi Timur","21","10","4.9155","97.79058","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"132","Idi Tunong","21","10","4.91626","97.72538","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"133","Indra Makmur","21","10","4.87148","97.58974","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"134","Julok","21","10","5.03641","97.58974","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"135","Madat","21","10","5.17168","97.51389","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"136","Nurussalam","21","10","4.97884","97.66024","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"137","Pante Bidari (Beudari)","21","10","4.80675","97.48981","2021-10-20 15:19:47","2021-11-26 15:08:09",0
"138","Peudawa","21","10","4.87916","97.81776","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"139","Peunaron","21","10","4.62454","97.63311","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"140","Peureulak","21","10","4.80929","97.8923","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"141","Peureulak Barat","21","10","4.85808","97.86128","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"142","Peureulak Timur","21","10","4.71404","97.88304","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"143","Rantau Selamat","21","10","4.62312","97.7634","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"144","Ranto Peureulak","21","10","0","0","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"145","Serba Jadi","21","10","4.44155","97.52472","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"146","Simpang Jernih","21","10","4.37877","97.67652","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"147","Simpang Ulim","21","10","5.10885","97.5789","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"148","Sungai Raya","21","10","-0.2468","109.61632","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"149","Baktiya","21","11","5.09019","97.40569","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"150","Baktiya Barat","21","11","5.13231","97.34085","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"151","Banda Baro","21","11","5.19344","96.96923","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"152","Cot Girek","21","11","4.83318","97.33005","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"153","Dewantara","21","11","5.23957","97.01759","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"154","Geuredong Pase","21","11","-7.62455","112.19667","2021-10-20 15:19:47","2021-11-26 15:13:13",0
"155","Kuta Makmur","21","11","5.0943","97.03909","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"156","Langkahan","21","11","4.87293","97.45977","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"157","Lapang","21","11","5.14839","97.29226","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"158","Lhoksukon","21","11","5.0517","97.31812","2021-10-20 15:19:47","2021-11-25 11:58:33",0
"159","Matangkuli","21","11","5.03489","97.27068","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"160","Meurah Mulia","21","11","5.07172","97.21136","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"161","Muara Batu","21","11","5.24553","96.94775","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"162","Nibong","21","11","5.03287","97.21945","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"163","Nisam","21","11","5.17737","97.01759","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"164","Nisam Antara","21","11","5.03318","96.95312","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"165","Paya Bakong","21","11","4.91651","97.24371","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"166","Pirak Timur","21","11","4.98836","97.27608","2021-10-20 15:19:47","2021-11-26 15:08:11",0
"167","Samudera","21","11","5.12842","97.22753","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"168","Sawang","21","11","5.04409","96.89945","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"169","Seunuddon (Seunudon)","21","11","-6.19346","106.85029","2021-10-20 15:19:47","2021-11-26 15:12:59",0
"170","Simpang Kramat (Keramat)","21","11","5.03179","97.08212","2021-10-20 15:19:47","2021-11-26 15:08:11",0
"171","Syamtalira Aron","21","11","5.09057","97.25854","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"172","Syamtalira Bayu","21","11","5.07719","97.18441","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"173","Tanah Jambo Aye","21","11","5.08969","97.44895","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"174","Tanah Luas","21","11","4.96913","97.14671","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"175","Tanah Pasir","21","11","5.1384","97.25989","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"176","Ampek Nagari (IV Nagari )","32","12","-0.07196","100.04223","2021-10-20 15:19:47","2021-11-26 15:08:19",0
"177","Banuhampu","32","12","-0.34092","100.38348","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"178","Baso","32","12","-0.26685","100.49587","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"179","Candung","32","12",0,0,"2021-10-20 15:19:47","2021-10-20 15:19:47",0
"180","IV Angkat Candung (Ampek Angkek)","32","12","-0.28314","100.42605","2021-10-20 15:19:47","2021-11-26 15:08:20",0
"181","IV Koto (Ampek Koto)","32","12","-0.34099","100.31611","2021-10-20 15:19:47","2021-11-26 15:08:20",0
"182","Kamang Magek","32","12","-0.20232","100.41718","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"183","Lubuk Basung","32","12","-0.31353","100.01359","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"184","Malakak","32","12","-10.19171","123.56161","2021-10-20 15:19:47","2021-11-26 15:09:07",0
"185","Matur","32","12","-0.27628","100.28245","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"186","Palembayan","32","12","-0.16557","100.19274","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"187","Palupuh","32","12","-0.12868","100.28245","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"188","Sungai Pua (Puar)","32","12","-0.37331","100.40033","2021-10-20 15:19:47","2021-11-26 15:08:20",0
"189","Tanjung Mutiara","32","12","-0.23966","99.83481","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"190","Tanjung Raya","32","12","-2.13435","115.35487","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"191","Tilatang Kamang","32","12","-0.24848","100.38348","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"192","Alor Barat Daya","23","13","-8.37611","124.46418","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"193","Alor Barat Laut","23","13","-8.20024","124.4531","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"194","Alor Selatan","23","13","-8.32895","124.75198","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"195","Alor Tengah Utara","23","13","-8.23875","124.63034","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"196","Alor Timur","23","13","-8.24916","124.99475","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"197","Alor Timur Laut","23","13","-8.2132","124.79617","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"198","Kabola","23","13","-8.15235","124.56391","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"199","Lembur","23","13","-8.17441","124.71882","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"200","Mataru","23","13","-8.37936","124.61927","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"201","Pantar","23","13","-8.25899","124.23104","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"202","Pantar Barat","23","13","-8.35407","124.06971","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"203","Pantar Barat Laut","23","13","-8.36578","123.99729","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"204","Pantar Tengah","23","13","-8.46513","124.13094","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"205","Pantar Timur","23","13","-8.33368","124.23104","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"206","Pulau Pura","23","13","-8.30056","124.3475","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"207","Pureman","23","13","-8.34818","124.96267","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"208","Teluk Mutiara","23","13","-8.24525","124.56391","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"209","Baguala","19","14","-5.31386","122.5519","2021-10-20 15:19:47","2021-11-26 15:09:24",0
"210","Leitimur Selatan","19","14","-3.67354","128.28494","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"211","Nusaniwe (Nusanive)","19","14","-3.72884","128.15829","2021-10-20 15:19:47","2021-11-26 15:09:28",0
"212","Sirimau","19","14","-3.69302","128.22165","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"213","Teluk Ambon","19","14","-3.65539","128.19077","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"214","Aek Kuasan","34","15","2.66957","99.71212","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"215","Aek Ledong","34","15","2.61115","99.66755","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"216","Aek Songsongan","34","15","2.60447","99.25639","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"217","Air Batu","34","15","2.86677","99.623","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"218","Air Joman","34","15","3.00401","99.71212","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"219","Bandar Pasir Mandoge","34","15","2.78067","99.32292","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"220","Bandar Pulau","34","15","2.64267","99.38951","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"221","Buntu Pane","34","15","2.83844","99.47838","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"222","Kisaran Barat Kota","34","15","2.98124","99.61624","2021-10-20 15:19:47","2021-11-26 15:08:14",0
"223","Kisaran Timur Kota","34","15","2.98984","99.6397","2021-10-20 15:19:47","2021-11-26 15:08:14",0
"224","Meranti","34","15","0.68196","109.7419","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"225","Pulau Rakyat","34","15","2.71869","99.70098","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"226","Pulo Bandring","34","15","3.00539","99.55622","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"227","Rahuning","34","15","2.71022","99.53397","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"228","Rawang Panca Arga","34","15","3.06368","99.66755","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"229","Sei Dadap","34","15","2.92568","99.64527","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"230","Sei Kepayang","34","15","2.85492","99.85714","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"231","Sei Kepayang Barat","34","15","2.95837","99.85156","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"232","Sei Kepayang Timur","34","15","2.94263","99.95768","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"233","Setia Janji","34","15","2.94675","99.4895","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"234","Silau Laut","34","15","3.05022","99.69838","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"235","Simpang Empat","34","15","0.51416","101.44953","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"236","Tanjung Balai","34","15","2.96623","99.79855","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"237","Teluk Dalam","34","15","0.60523","97.83952","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"238","Tinggi Raja","34","15","2.80847","99.53397","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"239","Agats","24","16","-5.53563","138.12135","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"240","Akat","24","16","-5.27051","138.63889","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"241","Atsy / Atsj","24","16","-5.779","138.47873","2021-10-20 15:19:47","2021-11-26 15:09:33",0
"242","Ayip","24","16","-5.90266","138.75931","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"243","Betcbamu","24","16",0,0,"2021-10-20 15:19:47","2021-10-20 15:19:47",0
"244","Der Koumur","24","16","-6.17479","138.83974","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"245","Fayit","24","16","-6.07863","138.51872","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"246","Jetsy","24","16","-5.47486","138.35892","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"247","Joerat","24","16","-5.38326","138.04068","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"248","Kolf Braza","24","16","-5.2017","139.00095","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"249","Kopay","24","16","-6.34035","138.65894","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"250","Pantai Kasuari","24","16","-6.21843","138.5988","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"251","Pulau Tiga","24","16","-8.85553","116.57154","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"252","Safan","24","16","-6.20321","138.43877","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"253","Sawa Erma","24","16","-5.1383","138.19955","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"254","Sirets","24","16","-5.53109","138.63889","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"255","Suator","24","16","-5.19116","139.28413","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"256","Suru-suru","24","16","-4.70384","139.06151","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"257","Unir Sirau","24","16","-5.09902","138.51872","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"258","Abiansemal","1","17","-8.54318","115.21703","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"259","Kuta","1","17","-8.7238","115.17523","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"260","Kuta Selatan","1","17","-8.79488","115.19886","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"261","Kuta Utara","1","17","-8.64305","115.1606","2021-10-20 15:19:47","2021-11-25 11:58:34",0
"262","Mengwi","1","17","-8.54346","115.17158","2021-10-20 15:19:47","2021-11-25 11:58:34",0
